ID,year,region,npg,birth_rate,death_rate,gdw,urbanization
132,2001,Omsk Oblast,-4.9,8.7,13.6,65.05,68.34
133,2001,Orenburg Oblast,-4.7,10,14.7,68.65,57.51
134,2001,Oryol Oblast,-9.9,8.1,18,72.47,63.17
135,2001,Penza Oblast,-9.2,7.5,16.7,70.33,64.77
136,2001,Perm Krai,-6.3,10.2,16.5,65.78,75.4
137,2001,Primorsky Krai,-4.8,9.3,14.1,56.88,77.73
138,2001,Pskov Oblast,-14.8,8,22.8,74.38,65.64
139,2001,Altai Republic,0.8,14.9,14.1,70.66,26.12
140,2001,Komi Republic,-3.5,10,13.5,54.04,75.26
141,2001,Tuva Republic,2.7,16.3,13.6,73.45,50.44
142,2001,Rostov Oblast,-7.4,8.2,15.6,69.85,67.58
143,2001,Ryazan Oblast,-12.5,7.4,19.9,75.1,68.48
144,2001,Samara Oblast,-8.2,8.2,16.4,63.76,80.54
145,2001,Saint Petersburg,-9,7.2,16.2,62.15,100
146,2001,Saratov Oblast,-8.1,8.2,16.3,68.5,73.31
147,2001,Sakhalin Oblast,-5.2,9.5,14.7,51.62,86.68
148,2001,Sverdlovsk Oblast,-7.1,9,16.1,64.34,87.8
149,2001,Sevastopol,,,,,
150,2001,Republic of North Ossetia-Alania,-1.3,10.3,11.6,75.06,66.17
151,2001,Smolensk Oblast,-13,7.6,20.6,69.7,70.42
152,2001,Stavropol Krai,-4.6,9.1,13.7,71.5,55.87
153,2001,Tambov Oblast,-11,7.8,18.8,76.36,57.15
154,2001,Republic of Tatarstan,-3.7,9.5,13.2,69.88,73.61
155,2001,Tver Oblast,-14.9,8,22.9,75.9,72.75
156,2001,Tomsk Oblast,-3.7,9.7,13.4,57.18,67.32
157,2001,Tula Oblast,-14.3,7.2,21.5,74.52,81.37
158,2001,Tyumen Oblast,1.8,11.4,9.6,62.02,77.07
159,2001,Udmurt Republic,-3.9,10.5,14.4,63.98,69.55
160,2001,Ulyanovsk Oblast,-7.7,8.1,15.8,67.69,73.01
161,2001,Khabarovsk Krai,-5.5,9.4,14.9,55.4,80.59
162,2001,Republic of Khakassia,-5.4,10.1,15.5,64.1,71.02
163,2001,Khanty–Mansi Autonomous Okrug – Yugra,5.2,12.3,7.1,43.89,91.16
164,2001,Chelyabinsk Oblast,-6.3,9.3,15.6,66.54,81.58
165,2001,Chechen Republic,,,,81.01,33.52
166,2001,Chuvash Republic,-5.2,9.1,14.3,69.7,60.34
167,2001,Chukotka Autonomous Okrug,0.3,12.7,12.4,43.89,66.38
168,2001,Sakha (Yakutia) Republic,3.7,13.9,10.2,59.64,64.19
169,2001,Yamalo-Nenets Autonomous Okrug,6.7,12.8,6.1,43.06,83.3
170,2001,Yaroslavl Oblast,-11.5,8.1,19.6,69.3,80.62
171,2002,Republic of Adygea,-4.8,10.2,15,73.97,52.69
172,2002,Altai Krai,-5.4,10.3,15.7,62.97,53.06
173,2002,Amur Oblast,-4.5,11.6,16.1,58.12,65.92
174,2002,Arkhangelsk Oblast,-7.1,10.4,17.5,60.8,75.19
175,2002,Astrakhan Oblast,-3.7,11.6,15.3,64.89,67.57
176,2002,Republic of Bashkortostan,-3,11.1,14.1,70.38,64.06
177,2002,Belgorod Oblast,-7.6,8.6,16.2,70.89,65.23
178,2002,Bryansk Oblast,-10.6,8.6,19.2,73.54,68.82
179,2002,Republic of Buryatia,-1.6,13,14.6,63.08,59.66
180,2002,Vladimir Oblast,-12.2,8.6,20.8,68.86,79.7
181,2002,Volgograd Oblast,-6.8,9.1,15.9,67.71,75.08
182,2002,Vologda Oblast,-8.3,10.1,18.4,66.83,68.91
183,2002,Voronezh Oblast,-10.9,8,18.9,74.18,61.79
184,2002,Republic of Dagestan,9.9,16.1,6.2,74.15,42.63
185,2002,Jewish Autonomous Oblast,-4.6,11.3,15.9,59.37,67.19
186,2002,Zabaykalsky Krai,-3.1,13.1,16.2,63.01,63.82
187,2002,Ivanovo Oblast,-13.7,8.3,22,70.33,82.62
188,2002,Republic of Ingushetia,12.3,16.4,4.1,76.07,42.57
189,2002,Irkutsk Oblast,-4.7,11.8,16.5,62.82,79.34
190,2002,Kabardino-Balkar Republic,0.2,10.2,10,66.76,56.59
191,2002,Kaliningrad Oblast,-8.4,8.9,17.3,59.21,77.62
192,2002,Republic of Kalmykia,0.4,12.7,12.3,67.17,43.68
193,2002,Kaluga Oblast,-10.4,8.4,18.8,68.42,74.63
194,2002,Kamchatka Krai,-0.7,10.8,11.5,45.24,81
195,2002,Karachay-Cherkess Republic,-0.7,11.2,11.9,71.81,43.93
196,2002,Republic of Karelia,-8.6,10.1,18.7,60.49,74.81
197,2002,Kemerovo Oblast,-7.6,10.1,17.7,62.62,86.68
198,2002,Kirov Oblast,-10,9,19,66.83,71.56
199,2002,Kostroma Oblast,-11.7,9.4,21.1,70.86,67.12
200,2002,Krasnodar Krai,-5.8,9.9,15.7,70.66,53.52
201,2002,Krasnoyarsk Krai,-4.6,10.7,15.3,59.16,75.57
202,2002,Republic of Crimea,,,,,
203,2002,Kurgan Oblast,-7.3,10.4,17.7,70.66,56.36
204,2002,Kursk Oblast,-10.8,8.5,19.3,74.17,61.06
205,2002,Leningrad Oblast,-12.6,7.8,20.4,67.69,66.37
206,2002,Lipetsk Oblast,-8.8,8.7,17.5,70.85,64.14
207,2002,Magadan Oblast,-1.8,10.8,12.6,43.62,91.95
208,2002,Mari El Republic,-6.6,10,16.6,64.49,63.04
209,2002,Republic of Mordovia,-8.7,8,16.7,67.61,59.67
210,2002,Moscow,-5.3,7.9,13.2,54.45,100
211,2002,Moscow Oblast,-9.7,8.2,17.9,64.49,79.36
212,2002,Murmansk Oblast,-3.4,9.8,13.2,47.04,92.26
213,2002,Nenets Autonomous Okrug,1.6,14.7,13.1,59.12,62.75
214,2002,Nizhny Novgorod Oblast,-11.2,8.1,19.3,69.27,78.07
215,2002,Novgorod Oblast,-13.3,9,22.3,72.05,69.73
216,2002,Novosibirsk Oblast,-5.4,10,15.4,61.75,74.97
217,2002,Omsk Oblast,-4.8,9.8,14.6,62.94,68.58
218,2002,Orenburg Oblast,-4.3,10.8,15.1,66.82,57.78
219,2002,Oryol Oblast,-10,8.6,18.6,70.67,63.38
220,2002,Penza Oblast,-9.6,8,17.6,69.23,64.94
221,2002,Perm Krai,-7,11,18,64.1,75.28
222,2002,Primorsky Krai,-4.9,10,14.9,56.39,78.29
223,2002,Pskov Oblast,-15.3,8.5,23.8,73,65.89
224,2002,Altai Republic,0.9,16,15.1,68.36,26.52
225,2002,Komi Republic,-4,10.9,14.9,52.65,75.27
226,2002,Tuva Republic,3.8,18.8,15,71.62,51.04
227,2002,Rostov Oblast,-7.3,8.8,16.1,67.86,67.6
228,2002,Ryazan Oblast,-12.7,7.8,20.5,73.92,68.73
229,2002,Samara Oblast,-7.1,9.2,16.3,62.58,80.58
230,2002,Saint Petersburg,-8.4,8,16.4,60.62,100
231,2002,Saratov Oblast,-7.9,8.7,16.6,67.22,73.48
232,2002,Sakhalin Oblast,-4.8,10.2,15,51.01,86.73
233,2002,Sverdlovsk Oblast,-7.2,9.9,17.1,62.67,87.88
234,2002,Sevastopol,,,,,
235,2002,Republic of North Ossetia-Alania,-1.2,11.1,12.3,73.25,65.7
236,2002,Smolensk Oblast,-13.4,8.2,21.6,67.69,70.66
237,2002,Stavropol Krai,-5,9.6,14.6,68.73,55.93
238,2002,Tambov Oblast,-11.7,8.1,19.8,75.02,57.19
239,2002,Republic of Tatarstan,-3.6,10.1,13.7,68.12,73.79
240,2002,Tver Oblast,-15.2,8.7,23.9,74.49,73.02
241,2002,Tomsk Oblast,-3.9,10.5,14.4,54.84,67.59
242,2002,Tula Oblast,-14.4,7.4,21.8,73.05,81.46
243,2002,Tyumen Oblast,2.5,12.4,9.9,59.54,77.24
244,2002,Udmurt Republic,-4.3,11.3,15.6,62.32,69.67
245,2002,Ulyanovsk Oblast,-8,8.8,16.8,66.18,73.1
246,2002,Khabarovsk Krai,-5.6,10,15.6,54.4,80.59
247,2002,Republic of Khakassia,-5.8,11.2,17,62.33,70.88
248,2002,Khanty–Mansi Autonomous Okrug – Yugra,6.5,13.4,6.9,42.92,90.93
249,2002,Chelyabinsk Oblast,-6.3,10.1,16.4,64.83,81.73
250,2002,Chechen Republic,,,,76.99,33.77
251,2002,Chuvash Republic,-5.3,9.8,15.1,67.56,60.52
252,2002,Chukotka Autonomous Okrug,0.7,12,11.3,44.18,66.44
253,2002,Sakha (Yakutia) Republic,4.4,14.6,10.2,58.61,64.31
254,2002,Yamalo-Nenets Autonomous Okrug,7.3,13.1,5.8,42.78,83.32
255,2002,Yaroslavl Oblast,-11.9,8.6,20.5,68.05,80.8
256,2003,Republic of Adygea,-5.1,10.4,15.5,71.36,52.59
257,2003,Altai Krai,-5.1,10.8,15.9,60.95,53.23
258,2003,Amur Oblast,-4.2,12.4,16.6,56.62,65.93
259,2003,Arkhangelsk Oblast,-7.1,10.8,18,58.9,74.9
260,2003,Astrakhan Oblast,-3.5,12.1,15.5,62.39,67.72
261,2003,Republic of Bashkortostan,-3.1,11.1,14.2,67.49,64.06
262,2003,Belgorod Oblast,-6.9,9.2,16.1,67.92,65.25
263,2003,Bryansk Oblast,-10,9.1,19.1,70.72,68.53
264,2003,Republic of Buryatia,-1.9,13.5,15.4,60.81,59.65
265,2003,Vladimir Oblast,-11.5,9.3,20.7,66.84,79.68
266,2003,Volgograd Oblast,-6.8,9.3,16.1,65.72,75.22
267,2003,Vologda Oblast,-9.4,10.4,19.8,64.17,69.11
268,2003,Voronezh Oblast,-10.7,8.3,18.9,71.34,61.96
269,2003,Republic of Dagestan,9.9,16,6.1,70.9,42.81
270,2003,Jewish Autonomous Oblast,-4.1,12,16.1,57.58,67.25
271,2003,Zabaykalsky Krai,-3.3,13.5,16.8,60.89,63.93
272,2003,Ivanovo Oblast,-13.3,8.8,22.1,68.2,82.7
273,2003,Republic of Ingushetia,11.1,14.9,3.9,78.02,42.45
274,2003,Irkutsk Oblast,-4.6,12.3,16.9,60.93,79.32
275,2003,Kabardino-Balkar Republic,0.1,10.3,10.3,64.24,56.6
276,2003,Kaliningrad Oblast,-8.7,9.3,18,57.5,77.62
277,2003,Republic of Kalmykia,1.5,13.3,11.8,64.32,44.31
278,2003,Kaluga Oblast,-10.2,8.8,19,66.74,74.89
279,2003,Kamchatka Krai,-1.4,10.8,12.3,44.9,81.11
280,2003,Karachay-Cherkess Republic,-0.8,11.6,12.3,69.11,44.06
281,2003,Republic of Karelia,-9.7,10.2,19.9,58.43,75.14
282,2003,Kemerovo Oblast,-7.8,10.5,18.4,60.62,86.69
283,2003,Kirov Oblast,-10.4,9.1,19.6,64.16,71.83
284,2003,Kostroma Oblast,-12.2,9.5,21.7,68.13,67.45
285,2003,Krasnodar Krai,-5.4,10.4,15.7,68.35,53.49
286,2003,Krasnoyarsk Krai,-4.7,11.1,15.8,57.31,75.81
287,2003,Republic of Crimea,,,,,
288,2003,Kurgan Oblast,-7.7,10.3,18.1,68.08,56.37
289,2003,Kursk Oblast,-10.9,8.8,19.7,71.5,61.35
290,2003,Leningrad Oblast,-13.1,8,21,65.41,66.43
291,2003,Lipetsk Oblast,-9.6,8.8,18.4,68.43,64.35
292,2003,Magadan Oblast,-1.4,11.2,12.6,43,92.6
293,2003,Mari El Republic,-6,10.4,16.4,61.53,63.2
294,2003,Republic of Mordovia,-8.8,8.4,17.2,65.27,59.87
295,2003,Moscow,-4.7,8.4,13,53.29,100
296,2003,Moscow Oblast,-9.1,8.8,17.9,62.71,79.26
297,2003,Murmansk Oblast,-4,9.9,14,45.84,92.21
298,2003,Nenets Autonomous Okrug,1.8,15.9,14.1,58.08,63.39
299,2003,Nizhny Novgorod Oblast,-11,9,20,66.8,78.21
300,2003,Novgorod Oblast,-14.3,9.2,23.5,69.92,69.92
301,2003,Novosibirsk Oblast,-4.9,10.6,15.5,59.74,75.11
302,2003,Omsk Oblast,-4.1,10.8,14.9,60.56,68.71
303,2003,Orenburg Oblast,-4.4,10.8,15.3,64.27,57.81
304,2003,Oryol Oblast,-9.9,8.9,18.8,68.32,63.59
305,2003,Penza Oblast,-9.5,8.4,17.9,67.29,65.12
306,2003,Perm Krai,-7,11.3,18.3,61.84,75.13
307,2003,Primorsky Krai,-5.1,10.5,15.6,55.39,78.34
308,2003,Pskov Oblast,-15.9,9,24.9,70.72,66.19
309,2003,Altai Republic,1.1,16.7,15.6,65.44,26.37
310,2003,Komi Republic,-4.3,11.3,15.7,50.68,75.26
311,2003,Tuva Republic,5.4,20.5,15.2,69.18,51.73
312,2003,Rostov Oblast,-7.1,9.2,16.3,65.56,67.63
313,2003,Ryazan Oblast,-12.9,8.3,21.2,71.97,68.98
314,2003,Samara Oblast,-6.6,9.8,16.4,60.83,80.62
315,2003,Saint Petersburg,-8,8.7,16.7,59.29,100
316,2003,Saratov Oblast,-7.9,9.1,17,65.22,73.63
317,2003,Sakhalin Oblast,-5.5,10.9,16.4,49.96,86.72
318,2003,Sverdlovsk Oblast,-6.9,10.4,17.3,60.74,87.93
319,2003,Sevastopol,,,,,
320,2003,Republic of North Ossetia-Alania,-1.3,11.3,12.6,71.27,65.44
321,2003,Smolensk Oblast,-13.3,8.7,21.9,65.41,70.91
322,2003,Stavropol Krai,-4.7,10.2,14.9,66.09,55.98
323,2003,Tambov Oblast,-11.5,8.5,19.9,72.44,57.25
324,2003,Republic of Tatarstan,-3.6,10.2,13.8,65.67,73.88
325,2003,Tver Oblast,-14.9,9.2,24.1,72.21,73.19
326,2003,Tomsk Oblast,-3.9,10.6,14.5,52.83,67.84
327,2003,Tula Oblast,-14.7,7.9,22.6,71.14,81.6
328,2003,Tyumen Oblast,3,12.9,9.9,57.08,77.41
329,2003,Udmurt Republic,-4.2,11.5,15.7,60.17,69.72
330,2003,Ulyanovsk Oblast,-8.4,8.9,17.2,63.82,73.19
331,2003,Khabarovsk Krai,-5.5,10.8,16.3,53.3,80.55
332,2003,Republic of Khakassia,-6,11.8,17.8,60.05,70.85
333,2003,Khanty–Mansi Autonomous Okrug – Yugra,6.8,13.7,6.9,41.55,90.87
334,2003,Chelyabinsk Oblast,-6.1,10.4,16.6,62.83,81.82
335,2003,Chechen Republic,18.4,24.9,6.5,75.8,33.75
336,2003,Chuvash Republic,-5.2,10.1,15.3,64.93,60.7
